2025-04-29 at 22:19:40 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 22:19:40 | DEBUG | Running TaskManager
2025-04-29 at 22:19:40 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:19:42 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:19:42 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:20:45 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:20:45 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:20:45 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 22:20:45 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 22:20:45 | DEBUG | Rack teardown started
2025-04-29 at 22:20:45 | DEBUG | Rack teardown completed
2025-04-29 at 22:20:45 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 22:20:45 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 22:20:45 | DEBUG | [Scribe] Teardown started
2025-04-29 at 22:20:45 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 22:20:45 | INFO | Experiment interrupted by user
2025-04-29 at 22:20:45 | INFO | Experiment ended
2025-04-29 at 22:20:48 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:20:48 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:20:48 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:20:48 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:20:48 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement time added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement timestamp6 added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement time2 added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement timestamp2 added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement time3 added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement timestamp3 added to the rack.
2025-04-29 at 22:20:48 | DEBUG | Measurement time9 added to the rack.
2025-04-29 at 22:20:48 | INFO | Experiment started
2025-04-29 at 22:20:48 | DEBUG | All experiment tasks started
2025-04-29 at 22:20:48 | DEBUG | [FastApi] Server setup started at localhost:8005
2025-04-29 at 22:20:48 | DEBUG | [FastApi] Server setup completed
2025-04-29 at 22:20:48 | DEBUG | Running APIServer
2025-04-29 at 22:20:48 | DEBUG | Rack setup started
2025-04-29 at 22:20:48 | DEBUG | Rack setup completed
2025-04-29 at 22:20:48 | DEBUG | Running Rack
2025-04-29 at 22:20:48 | DEBUG | [Scribe] Setup started
2025-04-29 at 22:20:48 | INFO | [Scribe] Directory created: 'data_sub'
2025-04-29 at 22:20:48 | DEBUG | [Scribe] Starting at: 07.00
2025-04-29 at 22:20:48 | DEBUG | [Scribe] Setup completed
2025-04-29 at 22:20:48 | DEBUG | Running Scribe
2025-04-29 at 22:20:48 | DEBUG | [Scribe] File data_sub\07.00 start.data does not exist. Creating new file.
2025-04-29 at 22:20:48 | DEBUG | [TaskManager] Setup started
2025-04-29 at 22:20:48 | DEBUG | [TaskManager] Setup completed
2025-04-29 at 22:20:48 | DEBUG | Running TaskManager
2025-04-29 at 22:20:48 | INFO | [TaskManager] Waiting for task to appear on queue
2025-04-29 at 22:20:50 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:20:50 | DEBUG | [FastApi] Client connected
2025-04-29 at 22:20:58 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:20:58 | DEBUG | [FastApi] Client disconnected
2025-04-29 at 22:20:58 | DEBUG | [FastApi] Server teardown started
2025-04-29 at 22:20:58 | DEBUG | [FastApi] Server teardown completed
2025-04-29 at 22:20:58 | DEBUG | Rack teardown started
2025-04-29 at 22:20:58 | DEBUG | Rack teardown completed
2025-04-29 at 22:20:58 | DEBUG | [TaskManager] Teardown started
2025-04-29 at 22:20:58 | DEBUG | [TaskManager] Teardown completed
2025-04-29 at 22:20:58 | DEBUG | [Scribe] Teardown started
2025-04-29 at 22:20:58 | DEBUG | [Scribe] Teardown completed
2025-04-29 at 22:20:58 | INFO | Experiment interrupted by user
2025-04-29 at 22:20:58 | INFO | Experiment ended
2025-04-29 at 22:21:01 | INFO | Logging configured: console level=DEBUG, file level=DEBUG, file name=logs\debug.log, gui level=DEBUG
2025-04-29 at 22:21:01 | DEBUG | [FastApi] APIServer initialized
2025-04-29 at 22:21:01 | DEBUG | [FastApi] WebSocket endpoint added at '/data'
2025-04-29 at 22:21:01 | DEBUG | [FastApi] WebSocket endpoint added at '/logs'
2025-04-29 at 22:21:01 | DEBUG | Instrument clock added to the rack.
2025-04-29 at 22:21:01 | DEBUG | Measurement timestamp added to the rack.
2025-04-29 at 22:21:01 | DEBUG | Measurement time added to the rack.
